seller_name,seller_sku,daily_sales_sku,sellerboard_date
banbaloo,5Y-8TNB-GV76,855.98,2020-06-11
banbaloo,5Y-8TNB-GV76,528.38,2020-06-12
banbaloo,5Y-8TNB-GV76,453.59,2020-06-13
banbaloo,5Y-8TNB-GV76,707.82,2020-06-14
banbaloo,5Y-8TNB-GV76,456.51,2020-06-15
banbaloo,5Y-8TNB-GV76,671.12,2020-06-16
banbaloo,5Y-8TNB-GV76,344.01,2020-06-17
banbaloo,5Y-8TNB-GV76,191.53,2020-06-18
banbaloo,5Y-8TNB-GV76,386.72,2020-06-19
banbaloo,5Y-8TNB-GV76,249.47,2020-06-20
banbaloo,5Y-8TNB-GV76,303.4,2020-06-21
banbaloo,5Y-8TNB-GV76,358.54,2020-06-22
banbaloo,5Y-8TNB-GV76,249.48,2020-06-23
banbaloo,5Y-8TNB-GV76,357.19,2020-06-24
banbaloo,5Y-8TNB-GV76,360.35,2020-06-25
banbaloo,5Y-8TNB-GV76,470.09,2020-06-26
banbaloo,5Y-8TNB-GV76,221.75,2020-06-27
banbaloo,5Y-8TNB-GV76,442.57,2020-06-28
banbaloo,5Y-8TNB-GV76,524.01,2020-06-29
banbaloo,5Y-8TNB-GV76,420.27,2020-06-30
banbaloo,5Y-8TNB-GV76,568.09,2020-07-01
banbaloo,5Y-8TNB-GV76,538.21,2020-07-02
banbaloo,5Y-8TNB-GV76,623.19,2020-07-03
banbaloo,5Y-8TNB-GV76,573.49,2020-07-04
banbaloo,5Y-8TNB-GV76,465.29,2020-07-05
banbaloo,5Y-8TNB-GV76,557.02,2020-07-06
banbaloo,5Y-8TNB-GV76,495.83,2020-07-07
banbaloo,5Y-8TNB-GV76,410.23,2020-07-08
banbaloo,5Y-8TNB-GV76,409.03,2020-07-09
banbaloo,5Y-8TNB-GV76,328.57,2020-07-10
banbaloo,5Y-8TNB-GV76,300.24,2020-07-11
banbaloo,5Y-8TNB-GV76,271.57,2020-07-12
banbaloo,5Y-8TNB-GV76,358.82,2020-07-13
banbaloo,5Y-8TNB-GV76,301.6,2020-07-14
banbaloo,5Y-8TNB-GV76,299.99,2020-07-15
banbaloo,5Y-8TNB-GV76,330.04,2020-07-16
banbaloo,5Y-8TNB-GV76,509.62,2020-07-17
banbaloo,5Y-8TNB-GV76,301.72,2020-07-18
banbaloo,5Y-8TNB-GV76,578.12,2020-07-19
banbaloo,5Y-8TNB-GV76,370.03,2020-07-20
banbaloo,5Y-8TNB-GV76,246.2,2020-07-21
banbaloo,5Y-8TNB-GV76,402.07,2020-07-22
banbaloo,5Y-8TNB-GV76,524.92,2020-07-23
banbaloo,5Y-8TNB-GV76,429.67,2020-07-24
banbaloo,5Y-8TNB-GV76,554.8,2020-07-25
banbaloo,5Y-8TNB-GV76,489.69,2020-07-26
banbaloo,5Y-8TNB-GV76,712.62,2020-07-27
banbaloo,5Y-8TNB-GV76,650.66,2020-07-28
banbaloo,5Y-8TNB-GV76,496.56,2020-07-29
banbaloo,5Y-8TNB-GV76,558.77,2020-07-30
banbaloo,5Y-8TNB-GV76,434.57,2020-07-31
banbaloo,5Y-8TNB-GV76,430.77,2020-08-01
banbaloo,5Y-8TNB-GV76,743.75,2020-08-02
banbaloo,5Y-8TNB-GV76,1300.26,2020-08-03
banbaloo,5Y-8TNB-GV76,638.16,2020-08-04
banbaloo,5Y-8TNB-GV76,588.23,2020-08-05
banbaloo,5Y-8TNB-GV76,583.95,2020-08-06
banbaloo,5Y-8TNB-GV76,503.03,2020-08-07
banbaloo,5Y-8TNB-GV76,277.82,2020-08-08
banbaloo,5Y-8TNB-GV76,987.24,2020-08-09
banbaloo,5Y-8TNB-GV76,644.07,2020-08-10
banbaloo,5Y-8TNB-GV76,248.36,2020-08-11
banbaloo,5Y-8TNB-GV76,711.49,2020-08-12
banbaloo,5Y-8TNB-GV76,526.59,2020-08-13
banbaloo,5Y-8TNB-GV76,678.23,2020-08-14
banbaloo,5Y-8TNB-GV76,310.37,2020-08-15
banbaloo,5Y-8TNB-GV76,619,2020-08-16
banbaloo,5Y-8TNB-GV76,683.03,2020-08-17
banbaloo,5Y-8TNB-GV76,776.1,2020-08-18
banbaloo,5Y-8TNB-GV76,277.74,2020-08-19
banbaloo,5Y-8TNB-GV76,645.77,2020-08-20
banbaloo,5Y-8TNB-GV76,620.8,2020-08-21
banbaloo,5Y-8TNB-GV76,431.54,2020-08-22
banbaloo,5Y-8TNB-GV76,744.99,2020-08-23
banbaloo,5Y-8TNB-GV76,402.14,2020-08-24
banbaloo,5Y-8TNB-GV76,586.42,2020-08-25
banbaloo,5Y-8TNB-GV76,434.72,2020-08-26
banbaloo,5Y-8TNB-GV76,651.64,2020-08-27
banbaloo,5Y-8TNB-GV76,465.57,2020-08-28
banbaloo,5Y-8TNB-GV76,587.22,2020-08-29
banbaloo,5Y-8TNB-GV76,401.83,2020-08-30
banbaloo,5Y-8TNB-GV76,527.92,2020-08-31
banbaloo,5Y-8TNB-GV76,431.47,2020-09-01
banbaloo,5Y-8TNB-GV76,431.54,2020-09-02
banbaloo,5Y-8TNB-GV76,465.49,2020-09-03
banbaloo,5Y-8TNB-GV76,155.15,2020-09-04
banbaloo,5Y-8TNB-GV76,337.91,2020-09-05
banbaloo,5Y-8TNB-GV76,527.89,2020-09-06
banbaloo,5Y-8TNB-GV76,675.17,2020-09-07
banbaloo,5Y-8TNB-GV76,609.82,2020-09-08
banbaloo,5Y-8TNB-GV76,527.79,2020-09-09
banbaloo,5Y-8TNB-GV76,495.34,2020-09-10
banbaloo,5Y-8TNB-GV76,371.23,2020-09-11
banbaloo,5Y-8TNB-GV76,338.49,2020-09-12
banbaloo,5Y-8TNB-GV76,618.55,2020-09-13
banbaloo,5Y-8TNB-GV76,646.44,2020-09-14
banbaloo,5Y-8TNB-GV76,605.9,2020-09-15
banbaloo,5Y-8TNB-GV76,906.07,2020-09-16
banbaloo,5Y-8TNB-GV76,363.97,2020-09-17
banbaloo,5Y-8TNB-GV76,576.73,2020-09-18
banbaloo,5Y-8TNB-GV76,463.35,2020-09-19
banbaloo,5Y-8TNB-GV76,681.66,2020-09-20
banbaloo,5Y-8TNB-GV76,709.85,2020-09-21
banbaloo,5Y-8TNB-GV76,430.25,2020-09-22
banbaloo,5Y-8TNB-GV76,770.97,2020-09-23
banbaloo,5Y-8TNB-GV76,432.85,2020-09-24
banbaloo,5Y-8TNB-GV76,743.69,2020-09-25
banbaloo,5Y-8TNB-GV76,708.71,2020-09-26
banbaloo,5Y-8TNB-GV76,987.71,2020-09-27
banbaloo,5Y-8TNB-GV76,836.69,2020-09-28
banbaloo,5Y-8TNB-GV76,745.23,2020-09-29
banbaloo,5Y-8TNB-GV76,836.29,2020-09-30
banbaloo,5Y-8TNB-GV76,579,2020-10-01
banbaloo,5Y-8TNB-GV76,493.02,2020-10-02
banbaloo,5Y-8TNB-GV76,403.55,2020-10-03
banbaloo,5Y-8TNB-GV76,835.43,2020-10-04
banbaloo,5Y-8TNB-GV76,676.65,2020-10-05
banbaloo,5Y-8TNB-GV76,556.27,2020-10-06
banbaloo,5Y-8TNB-GV76,485.81,2020-10-07
banbaloo,5Y-8TNB-GV76,422.47,2020-10-08
banbaloo,5Y-8TNB-GV76,693.91,2020-10-09
banbaloo,5Y-8TNB-GV76,474.79,2020-10-10
banbaloo,5Y-8TNB-GV76,660.34,2020-10-11
banbaloo,5Y-8TNB-GV76,840.71,2020-10-12
banbaloo,5Y-8TNB-GV76,902.25,2020-10-13
banbaloo,5Y-8TNB-GV76,687.71,2020-10-14
banbaloo,5Y-8TNB-GV76,775.93,2020-10-15
banbaloo,5Y-8TNB-GV76,326.79,2020-10-16
banbaloo,5Y-8TNB-GV76,480.93,2020-10-17
banbaloo,5Y-8TNB-GV76,510.91,2020-10-18
banbaloo,5Y-8TNB-GV76,509.49,2020-10-19
banbaloo,5Y-8TNB-GV76,480,2020-10-20
banbaloo,5Y-8TNB-GV76,543.07,2020-10-21
banbaloo,5Y-8TNB-GV76,571.71,2020-10-22
banbaloo,5Y-8TNB-GV76,753.23,2020-10-23
banbaloo,5Y-8TNB-GV76,388.81,2020-10-24
banbaloo,5Y-8TNB-GV76,659.18,2020-10-25
banbaloo,5Y-8TNB-GV76,541.75,2020-10-26
banbaloo,5Y-8TNB-GV76,237.04,2020-10-27
banbaloo,5Y-8TNB-GV76,447.35,2020-10-28
banbaloo,5Y-8TNB-GV76,422.52,2020-10-29
banbaloo,5Y-8TNB-GV76,211.29,2020-10-30
banbaloo,5Y-8TNB-GV76,451.2,2020-10-31
banbaloo,5Y-8TNB-GV76,362.04,2020-11-01
banbaloo,5Y-8TNB-GV76,573.07,2020-11-02
banbaloo,5Y-8TNB-GV76,482.64,2020-11-03
banbaloo,5Y-8TNB-GV76,328.43,2020-11-04
banbaloo,5Y-8TNB-GV76,599.01,2020-11-05
banbaloo,5Y-8TNB-GV76,451.34,2020-11-06
banbaloo,5Y-8TNB-GV76,299.99,2020-11-07
banbaloo,5Y-8TNB-GV76,631.74,2020-11-08
banbaloo,5Y-8TNB-GV76,541.37,2020-11-09
banbaloo,5Y-8TNB-GV76,811.83,2020-11-10
banbaloo,5Y-8TNB-GV76,749.91,2020-11-11
banbaloo,5Y-8TNB-GV76,782.27,2020-11-12
banbaloo,5Y-8TNB-GV76,630.28,2020-11-13
banbaloo,5Y-8TNB-GV76,751.18,2020-11-14
banbaloo,5Y-8TNB-GV76,596.11,2020-11-15
banbaloo,5Y-8TNB-GV76,691.87,2020-11-16
banbaloo,5Y-8TNB-GV76,655.45,2020-11-17
banbaloo,5Y-8TNB-GV76,602.13,2020-11-18
banbaloo,5Y-8TNB-GV76,449.87,2020-11-19
banbaloo,5Y-8TNB-GV76,599.55,2020-11-20
